Enr	B8	hep	DSN	atm
   3.9000000e+01   0.0000000e+00   0.0000000e+00   6.6583443e-12   5.6921670e-10
   3.9250000e+01   0.0000000e+00   0.0000000e+00   6.4059191e-12   5.5905943e-10
   3.9500000e+01   0.0000000e+00   0.0000000e+00   6.1632300e-12   5.4906355e-10
   3.9750000e+01   0.0000000e+00   0.0000000e+00   5.9298913e-12   5.3922664e-10
   4.0000000e+01   0.0000000e+00   0.0000000e+00   5.7055257e-12   5.2954628e-10
   4.0250000e+01   0.0000000e+00   0.0000000e+00   5.4897782e-12   5.2002014e-10
   4.0500000e+01   0.0000000e+00   0.0000000e+00   5.2823155e-12   5.1064591e-10
   4.0750000e+01   0.0000000e+00   0.0000000e+00   5.0828101e-12   5.0142131e-10
   4.1000000e+01   0.0000000e+00   0.0000000e+00   4.8909479e-12   4.9234410e-10
   4.1250000e+01   0.0000000e+00   0.0000000e+00   4.7064281e-12   4.8341208e-10
   4.1500000e+01   0.0000000e+00   0.0000000e+00   4.5289621e-12   4.7462307e-10
   4.1750000e+01   0.0000000e+00   0.0000000e+00   4.3582625e-12   4.6597492e-10
   4.2000000e+01   0.0000000e+00   0.0000000e+00   4.1940718e-12   4.5746553e-10
   4.2250000e+01   0.0000000e+00   0.0000000e+00   4.0361362e-12   4.4909283e-10
   4.2500000e+01   0.0000000e+00   0.0000000e+00   3.8842087e-12   4.4085478e-10
   4.2750000e+01   0.0000000e+00   0.0000000e+00   3.7380544e-12   4.3274937e-10
   4.3000000e+01   0.0000000e+00   0.0000000e+00   3.5974522e-12   4.2477463e-10
   4.3250000e+01   0.0000000e+00   0.0000000e+00   3.4621660e-12   4.1692856e-10
   4.3500000e+01   0.0000000e+00   0.0000000e+00   3.3319971e-12   4.0920926e-10
   4.3750000e+01   0.0000000e+00   0.0000000e+00   3.2067586e-12   4.0161488e-10
   4.4000000e+01   0.0000000e+00   0.0000000e+00   3.0862601e-12   3.9414354e-10
   4.4250000e+01   0.0000000e+00   0.0000000e+00   2.9702895e-12   3.8679337e-10
   4.4500000e+01   0.0000000e+00   0.0000000e+00   2.8586915e-12   3.7956258e-10
   4.4750000e+01   0.0000000e+00   0.0000000e+00   2.7513016e-12   3.7244942e-10
   4.5000000e+01   0.0000000e+00   0.0000000e+00   2.6479509e-12   3.6545211e-10
   4.5250000e+01   0.0000000e+00   0.0000000e+00   2.5484951e-12   3.5856896e-10
   4.5500000e+01   0.0000000e+00   0.0000000e+00   2.4527816e-12   3.5179827e-10
   4.5750000e+01   0.0000000e+00   0.0000000e+00   2.3606433e-12   3.4513828e-10
   4.6000000e+01   0.0000000e+00   0.0000000e+00   2.2719635e-12   3.3858742e-10
   4.6250000e+01   0.0000000e+00   0.0000000e+00   2.1865769e-12   3.3214395e-10
   4.6500000e+01   0.0000000e+00   0.0000000e+00   2.1044008e-12   3.2580641e-10
   4.6750000e+01   0.0000000e+00   0.0000000e+00   2.0252741e-12   3.1957310e-10
   4.7000000e+01   0.0000000e+00   0.0000000e+00   1.9491099e-12   3.1344256e-10
   4.7250000e+01   0.0000000e+00   0.0000000e+00   1.8757913e-12   3.0741324e-10
   4.7500000e+01   0.0000000e+00   0.0000000e+00   1.8052222e-12   3.0148366e-10
   4.7750000e+01   0.0000000e+00   0.0000000e+00   1.7372680e-12   2.9565225e-10
   4.8000000e+01   0.0000000e+00   0.0000000e+00   1.6718372e-12   2.8991757e-10
   4.8250000e+01   0.0000000e+00   0.0000000e+00   1.6088400e-12   2.8427818e-10
   4.8500000e+01   0.0000000e+00   0.0000000e+00   1.5481718e-12   2.7873263e-10
   4.8750000e+01   0.0000000e+00   0.0000000e+00   1.4897633e-12   2.7327958e-10
   4.9000000e+01   0.0000000e+00   0.0000000e+00   1.4335371e-12   2.6791767e-10
   4.9250000e+01   0.0000000e+00   0.0000000e+00   1.3793976e-12   2.6264549e-10
   4.9500000e+01   0.0000000e+00   0.0000000e+00   1.3272587e-12   2.5746167e-10
   4.9750000e+01   0.0000000e+00   0.0000000e+00   1.2770521e-12   2.5236491e-10
   5.0000000e+01   0.0000000e+00   0.0000000e+00   1.2286937e-12   2.4735389e-10
   5.0250000e+01   0.0000000e+00   0.0000000e+00   1.1821362e-12   2.4242738e-10
   5.0500000e+01   0.0000000e+00   0.0000000e+00   1.1373189e-12   2.3758414e-10
   5.0750000e+01   0.0000000e+00   0.0000000e+00   1.0941579e-12   2.3282286e-10
   5.1000000e+01   0.0000000e+00   0.0000000e+00   1.0525811e-12   2.2814227e-10
   5.1250000e+01   0.0000000e+00   0.0000000e+00   1.0125427e-12   2.2354121e-10
   5.1500000e+01   0.0000000e+00   0.0000000e+00   9.7399186e-13   2.1901852e-10
   5.1750000e+01   0.0000000e+00   0.0000000e+00   9.3688223e-13   2.1457304e-10
   5.2000000e+01   0.0000000e+00   0.0000000e+00   9.0114059e-13   2.1020354e-10
   5.2250000e+01   0.0000000e+00   0.0000000e+00   8.6671863e-13   2.0590890e-10
   5.2500000e+01   0.0000000e+00   0.0000000e+00   8.3356161e-13   2.0168796e-10
   5.2750000e+01   0.0000000e+00   0.0000000e+00   8.0164693e-13   1.9753971e-10
   5.3000000e+01   0.0000000e+00   0.0000000e+00   7.7091840e-13   1.9346301e-10
   5.3250000e+01   0.0000000e+00   0.0000000e+00   7.4131969e-13   1.8945674e-10
   5.3500000e+01   0.0000000e+00   0.0000000e+00   7.1281385e-13   1.8551985e-10
   5.3750000e+01   0.0000000e+00   0.0000000e+00   6.8536850e-13   1.8165134e-10
   5.4000000e+01   0.0000000e+00   0.0000000e+00   6.5895007e-13   1.7785019e-10
   5.4250000e+01   0.0000000e+00   0.0000000e+00   6.3350242e-13   1.7411531e-10
   5.4500000e+01   0.0000000e+00   0.0000000e+00   6.0899501e-13   1.7044571e-10
   5.4750000e+01   0.0000000e+00   0.0000000e+00   5.8539996e-13   1.6684045e-10
   5.5000000e+01   0.0000000e+00   0.0000000e+00   5.6268948e-13   1.6329857e-10
   5.5250000e+01   0.0000000e+00   0.0000000e+00   5.4081519e-13   1.5981902e-10
   5.5500000e+01   0.0000000e+00   0.0000000e+00   5.1975077e-13   1.5640091e-10
   5.5750000e+01   0.0000000e+00   0.0000000e+00   4.9947572e-13   1.5304332e-10
   5.6000000e+01   0.0000000e+00   0.0000000e+00   4.7996094e-13   1.4974534e-10
   5.6250000e+01   0.0000000e+00   0.0000000e+00   4.6116707e-13   1.4650600e-10
   5.6500000e+01   0.0000000e+00   0.0000000e+00   4.4306840e-13   1.4332442e-10
   5.6750000e+01   0.0000000e+00   0.0000000e+00   4.2565744e-13   1.4019980e-10
   5.7000000e+01   0.0000000e+00   0.0000000e+00   4.0889347e-13   1.3713119e-10
   5.7250000e+01   0.0000000e+00   0.0000000e+00   3.9275302e-13   1.3411775e-10
   5.7500000e+01   0.0000000e+00   0.0000000e+00   3.7721981e-13   1.3115865e-10
   5.7750000e+01   0.0000000e+00   0.0000000e+00   3.6227556e-13   1.2825309e-10
   5.8000000e+01   0.0000000e+00   0.0000000e+00   3.4788693e-13   1.2540018e-10
   5.8250000e+01   0.0000000e+00   0.0000000e+00   3.3403409e-13   1.2259912e-10
   5.8500000e+01   0.0000000e+00   0.0000000e+00   3.2071306e-13   1.1984919e-10
   5.8750000e+01   0.0000000e+00   0.0000000e+00   3.0788957e-13   1.1714953e-10
   5.9000000e+01   0.0000000e+00   0.0000000e+00   2.9554709e-13   1.1449937e-10
   5.9250000e+01   0.0000000e+00   0.0000000e+00   2.8367735e-13   1.1189800e-10
   5.9500000e+01   0.0000000e+00   0.0000000e+00   2.7225462e-13   1.0934462e-10
   5.9750000e+01   0.0000000e+00   0.0000000e+00   2.6126193e-13   1.0683848e-10
   6.0000000e+01   0.0000000e+00   0.0000000e+00   2.5069077e-13   1.0437890e-10
   6.0250000e+01   0.0000000e+00   0.0000000e+00   2.4052157e-13   1.0196512e-10
   6.0500000e+01   0.0000000e+00   0.0000000e+00   2.3073577e-13   9.9596411e-11
   6.0750000e+01   0.0000000e+00   0.0000000e+00   2.2132639e-13   9.7272119e-11
   6.1000000e+01   0.0000000e+00   0.0000000e+00   2.1227820e-13   9.4991541e-11
   6.1250000e+01   0.0000000e+00   0.0000000e+00   2.0357191e-13   9.2753956e-11
   6.1500000e+01   0.0000000e+00   0.0000000e+00   1.9520238e-13   9.0558743e-11
   6.1750000e+01   0.0000000e+00   0.0000000e+00   1.8715566e-13   8.8405226e-11
   6.2000000e+01   0.0000000e+00   0.0000000e+00   1.7941481e-13   8.6292719e-11
   6.2250000e+01   0.0000000e+00   0.0000000e+00   1.7197579e-13   8.4220628e-11
   6.2500000e+01   0.0000000e+00   0.0000000e+00   1.6482372e-13   8.2188290e-11
   6.2750000e+01   0.0000000e+00   0.0000000e+00   1.5794610e-13   8.0195069e-11
   6.3000000e+01   0.0000000e+00   0.0000000e+00   1.5133846e-13   7.8240387e-11
   6.3250000e+01   0.0000000e+00   0.0000000e+00   1.4498658e-13   7.6323602e-11
   6.3500000e+01   0.0000000e+00   0.0000000e+00   1.3887997e-13   7.4444111e-11
   6.3750000e+01   0.0000000e+00   0.0000000e+00   1.3301555e-13   7.2601367e-11
   6.4000000e+01   0.0000000e+00   0.0000000e+00   1.2737922e-13   7.0794744e-11
   6.4250000e+01   0.0000000e+00   0.0000000e+00   1.2196096e-13   6.9023663e-11
   6.4500000e+01   0.0000000e+00   0.0000000e+00   1.1676060e-13   6.7287613e-11
   6.4750000e+01   0.0000000e+00   0.0000000e+00   1.1176143e-13   6.5585970e-11
   6.5000000e+01   0.0000000e+00   0.0000000e+00   1.0696053e-13   6.3918221e-11
   6.5250000e+01   0.0000000e+00   0.0000000e+00   1.0235107e-13   6.2283826e-11
   6.5500000e+01   0.0000000e+00   0.0000000e+00   9.7922144e-14   6.0682220e-11
   6.5750000e+01   0.0000000e+00   0.0000000e+00   9.3671829e-14   5.9112917e-11
   6.6000000e+01   0.0000000e+00   0.0000000e+00   8.9590467e-14   5.7575368e-11
   6.6250000e+01   0.0000000e+00   0.0000000e+00   8.5670112e-14   5.6069053e-11
   6.6500000e+01   0.0000000e+00   0.0000000e+00   8.1910811e-14   5.4593515e-11
   6.6750000e+01   0.0000000e+00   0.0000000e+00   7.8299175e-14   5.3148192e-11
   6.7000000e+01   0.0000000e+00   0.0000000e+00   7.4835173e-14   5.1732644e-11
   6.7250000e+01   0.0000000e+00   0.0000000e+00   7.1510904e-14   5.0346364e-11
   6.7500000e+01   0.0000000e+00   0.0000000e+00   6.8319968e-14   4.8988867e-11
   6.7750000e+01   0.0000000e+00   0.0000000e+00   6.5261596e-14   4.7659721e-11
